Frame, Time (ms), Delta (ms)
    1, 0.000, 0.000
    2,17.155,17.155
    3,33.763,16.608
    4,49.860,16.097
    5,66.056,16.196
    6,82.834,16.778
    7,99.827,16.993
    8,116.010,16.183
    9,134.770,18.760
   10,151.241,16.471
   11,182.886,31.645
   12,216.566,33.680
   13,248.945,32.379
   14,282.100,33.155
   15,299.237,17.137
   16,332.129,32.892
   17,365.582,33.453
   18,399.477,33.895
   19,415.332,15.855
   20,432.407,17.075
   21,448.700,16.293
   22,466.614,17.914
   23,498.674,32.060
   24,532.041,33.367
   25,565.248,33.207
   26,598.929,33.681
   27,615.522,16.593
   28,648.285,32.763
   29,682.524,34.239
   30,699.388,16.864
   31,731.921,32.533
   32,765.345,33.424
   33,798.685,33.340
   34,831.393,32.708
   35,865.738,34.345
   36,899.949,34.211
   37,933.006,33.057
   38,949.202,16.196
   39,966.060,16.858
   40,982.135,16.075
   41,1015.387,33.252
   42,1048.459,33.072
   43,1081.628,33.169
   44,1115.427,33.799
   45,1132.428,17.001
   46,1166.659,34.231
   47,1181.753,15.094
   48,1198.840,17.087
   49,1215.715,16.875
   50,1248.509,32.794
   51,1281.686,33.177
   52,1298.442,16.756
   53,1331.875,33.433
   54,1348.782,16.907
   55,1365.779,16.997
   56,1381.971,16.192
   57,1398.250,16.279
   58,1416.697,18.447
   59,1449.124,32.427
   60,1465.853,16.729
   61,1498.662,32.809
   62,1531.401,32.739
   63,1567.790,36.389
   64,1598.849,31.059
   65,1633.493,34.644
   66,1649.184,15.691
   67,1665.181,15.997
   68,1698.990,33.809
   69,1731.884,32.894
   70,1764.878,32.994
   71,1798.495,33.617
   72,1831.572,33.077
   73,1863.859,32.287
   74,1896.903,33.044
   75,1930.638,33.735
   76,1965.858,35.220
   77,1982.182,16.324
   78,1999.832,17.650
   79,2016.275,16.443
   80,2031.223,14.948
   81,2047.538,16.315
   82,2080.638,33.100
   83,2114.981,34.343
   84,2147.538,32.557
   85,2180.937,33.399
   86,2213.808,32.871
   87,2230.246,16.438
   88,2247.309,17.063
   89,2280.641,33.332
   90,2314.258,33.617
   91,2348.105,33.847
   92,2364.460,16.355
   93,2380.303,15.843
   94,2397.681,17.378
   95,2414.268,16.587
   96,2431.645,17.377
   97,2447.004,15.359
   98,2480.468,33.464
   99,2513.736,33.268
  100,2532.603,18.867
  101,2563.458,30.855
  102,2580.644,17.186
  103,2614.251,33.607
  104,2647.093,32.842
  105,2680.251,33.158
  106,2697.275,17.024
  107,2730.299,33.024
  108,2763.367,33.068
  109,2798.020,34.653
  110,2813.367,15.347
